timestamp,x1,y1,tx1,ty1,action
0,0,0,0,0,d
1,0,0,0,0,r
2,0,0,0,0,s
3,0,0,0,0,s
4,0,0,0,0,l
5,0,0,0,0,s
6,0,0,0,0,d
7,0,0,0,0,u
8,0,0,0,0,r
9,0,0,0,0,l
10,0,0,0,0,d
11,0,0,0,0,s
12,0,0,0,0,u
13,0,0,0,0,d
14,0,0,0,0,s
15,0,0,0,0,d
16,0,0,0,0,r
17,0,0,0,0,l
18,0,0,0,0,l
19,0,0,0,0,r
20,0,0,0,0,s
21,0,0,0,0,l
22,0,0,0,0,d
23,0,0,0,0,l
24,0,0,0,0,u
25,0,0,0,0,u
26,0,0,0,0,s
27,0,0,0,0,u
28,0,0,0,0,s
29,0,0,0,0,d
0,0,0,0,1,l
1,0,0,0,1,d
2,0,0,0,1,d
3,0,0,0,1,d
4,0,0,0,1,d
5,0,0,0,1,d
6,0,0,0,1,d
7,0,0,0,1,r
8,0,0,0,1,r
9,0,0,0,1,d
10,0,0,0,1,l
11,0,0,0,1,r
12,0,0,0,1,d
13,0,0,0,1,d
14,0,0,0,1,l
15,0,0,0,1,r
16,0,0,0,1,d
17,0,0,0,1,l
18,0,0,0,1,r
19,0,0,0,1,d
20,0,0,0,1,l
21,0,0,0,1,d
22,0,0,0,1,r
23,0,0,0,1,l
24,0,0,0,1,d
25,0,0,0,1,r
26,0,0,0,1,d
27,0,0,0,1,l
28,0,0,0,1,l
29,0,0,0,1,d
0,0,0,0,2,d
1,0,0,0,2,d
2,0,0,0,2,d
3,0,0,0,2,r
4,0,0,0,2,d
5,0,0,0,2,d
6,0,0,0,2,d
7,0,0,0,2,d
8,0,0,0,2,d
9,0,0,0,2,d
10,0,0,0,2,d
11,0,0,0,2,d
12,0,0,0,2,d
13,0,0,0,2,r
14,0,0,0,2,d
15,0,0,0,2,d
16,0,0,0,2,d
17,0,0,0,2,d
18,0,0,0,2,l
19,0,0,0,2,d
20,0,0,0,2,r
21,0,0,0,2,d
22,0,0,0,2,d
23,0,0,0,2,d
24,0,0,0,2,d
25,0,0,0,2,d
26,0,0,0,2,d
27,0,0,0,2,l
28,0,0,0,2,l
